work_order_id,cluster
WO-0000979,-1
WO-0000980,-1
WO-0000981,-1
WO-0000982,-1
WO-0000983,-1
WO-0000984,-1
WO-0000985,-1
WO-0000986,-1
WO-0000987,-1
WO-0000988,-1
WO-0000989,-1
WO-0000990,-1
WO-0000991,-1
WO-0000992,-1
WO-0000993,-1
WO-0000994,-1
WO-0000995,-1
WO-0000996,-1
WO-0000997,-1
WO-0000998,-1
WO-0000999,-1
WO-0001000,-1
WO-0001001,-1
WO-0001002,-1
WO-0001003,-1
WO-0001004,-1
WO-0001005,-1
WO-0001006,-1
WO-0001007,-1
WO-0001008,-1
WO-0001009,-1
WO-0001010,0
WO-0001011,-1
WO-0001012,0
WO-0001013,-1
WO-0001014,-1
WO-0001015,-1
WO-0001016,-1
WO-0001017,-1
WO-0001018,-1
WO-0001019,0
WO-0001020,-1
WO-0001021,-1
WO-0001022,-1
WO-0001023,-1
WO-0001024,-1
WO-0001025,-1
WO-0001026,-1
WO-0001027,-1
WO-0001028,-1
WO-0001029,-1
WO-0001030,-1
WO-0001031,-1
WO-0001032,-1
WO-0001033,-1
WO-0001034,-1
WO-0001035,-1
WO-0001036,-1
WO-0001037,-1
WO-0001038,-1
WO-0001039,-1
WO-0001040,-1
WO-0001041,-1
WO-0001042,-1
WO-0001043,0
WO-0001044,-1
WO-0001045,-1
WO-0001046,-1
WO-0001047,-1
WO-0001048,-1
WO-0001049,-1
WO-0001050,-1
WO-0001051,0
WO-0001052,-1
WO-0001053,-1
WO-0001054,0
WO-0001055,-1
WO-0001056,-1
WO-0001057,-1
WO-0001058,-1
WO-0001059,-1
WO-0001060,-1
WO-0001061,0
WO-0001062,-1
WO-0001063,-1
WO-0001064,-1
WO-0001065,-1
WO-0001066,-1
WO-0001067,-1
WO-0001068,-1
WO-0001069,-1
WO-0001070,-1
WO-0001071,-1
WO-0001072,-1
WO-0001073,-1
WO-0001074,-1
WO-0001075,-1
WO-0001076,-1
WO-0001077,-1
WO-0001078,0
